epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,499.306,0.69263,0.95927,1.24446,0.78448,0.78093,0.83503,0.57906,1.09541,1.18231,1.71278,0.000215774,0.000215774,0.000215774
43,515.838,0.62909,0.89862,1.18084,0.7903,0.78163,0.84868,0.58924,1.14219,1.15745,1.82598,0.000204769,0.000204769,0.000204769
44,527.032,0.62218,0.86639,1.19454,0.79322,0.80216,0.89418,0.6094,1.05965,0.95409,1.64936,0.000193763,0.000193763,0.000193763
45,538.971,0.57118,0.9064,1.18897,0.84214,0.70794,0.87251,0.59539,1.04323,1.03735,1.64366,0.000182758,0.000182758,0.000182758
46,549.773,0.57867,0.90877,1.16974,0.68105,0.86562,0.84661,0.63429,1.00658,1.1005,1.57177,0.000171752,0.000171752,0.000171752
47,564.688,0.55191,0.87922,1.16651,0.79265,0.80886,0.87327,0.66227,1.01792,0.98281,1.57928,0.000160747,0.000160747,0.000160747
48,576.617,0.57691,0.85618,1.16495,0.657,0.89063,0.83938,0.64557,1.00217,1.05966,1.53586,0.000149741,0.000149741,0.000149741
49,587.429,0.55755,0.80954,1.14668,0.6855,0.91092,0.85389,0.6293,0.98563,1.13764,1.49359,0.000138736,0.000138736,0.000138736
50,598.22,0.50618,0.81113,1.12862,0.8015,0.77272,0.87289,0.61223,1.01397,1.14841,1.48254,0.000127731,0.000127731,0.000127731
51,610.389,0.50866,0.75448,1.14386,0.84761,0.86446,0.89407,0.62111,1.0909,1.05658,1.66819,0.000116725,0.000116725,0.000116725
52,621.571,0.48576,0.72785,1.17301,0.85334,0.79072,0.87429,0.6001,1.14826,1.04747,1.7371,0.00010572,0.00010572,0.00010572
53,632.269,0.50027,0.65796,1.19499,0.87475,0.75736,0.88648,0.62474,1.09239,0.95654,1.74114,9.4714e-05,9.4714e-05,9.4714e-05
54,643.023,0.45266,0.55866,1.12666,0.85726,0.79244,0.90507,0.63767,1.00379,0.93058,1.71101,8.37085e-05,8.37085e-05,8.37085e-05
55,653.783,0.44967,0.59723,1.12726,0.89287,0.85685,0.89174,0.64269,0.969,1.02542,1.67757,7.2703e-05,7.2703e-05,7.2703e-05
56,664.695,0.46073,0.56677,1.13456,0.87247,0.86045,0.88228,0.63379,0.96214,1.07886,1.67668,6.16975e-05,6.16975e-05,6.16975e-05
57,675.676,0.39468,0.51471,1.06827,0.872,0.83267,0.87579,0.59831,0.99713,1.12229,1.68483,5.0692e-05,5.0692e-05,5.0692e-05
58,686.394,0.45284,0.5193,1.11239,0.82841,0.86821,0.89717,0.61671,1.03979,1.07267,1.68994,3.96865e-05,3.96865e-05,3.96865e-05
59,697.165,0.41078,0.50012,1.09755,0.83027,0.88188,0.90406,0.61725,1.06487,1.00724,1.68569,2.8681e-05,2.8681e-05,2.8681e-05
60,707.997,0.41204,0.50859,1.111,0.84046,0.87958,0.90781,0.63701,1.04758,0.97401,1.65292,1.76755e-05,1.76755e-05,1.76755e-05
